,pref,city,town,other,lon_min,lat_min,lon_max,lat_max
5247,北海道,札幌市手稲区,富丘一条６丁目,,141.24868839411795,43.1123419428916,141.255416083315,43.11582969449088
5248,北海道,札幌市手稲区,富丘一条７丁目,,141.24662479230784,43.11429441711773,141.25129994257955,43.11758110727355
5249,北海道,札幌市手稲区,富丘二条２丁目,,141.25209704515325,43.098727599080824,141.25590593528955,43.10402970807811
5250,北海道,札幌市手稲区,富丘二条３丁目,,141.2512694150101,43.103264199736685,141.25634771286113,43.10772451150861
5251,北海道,札幌市手稲区,富丘二条４丁目,,141.24993651372222,43.1052788671051,141.25488739487287,43.10926036772605
5252,北海道,札幌市手稲区,富丘二条５丁目,,141.24790944564126,43.10849919248205,141.25250358092038,43.11279984227095
5253,北海道,札幌市手稲区,富丘二条６丁目,,141.24625502370566,43.11200607441467,141.25043855201721,43.11429441711773
5254,北海道,札幌市手稲区,富丘二条７丁目,,141.2446165602341,43.11362462836964,141.24868839411795,43.11623488121043
5255,北海道,札幌市手稲区,富丘三条１丁目,,141.2516716915048,43.09548265737144,141.25657367298038,43.09969744425459
5256,北海道,札幌市手稲区,富丘三条２丁目,,141.25045198795178,43.09920173944674,141.25396932316926,43.10273086126765
5257,北海道,札幌市手稲区,富丘三条３丁目,,141.24934263069397,43.10214570097287,141.252318966046,43.10533710550565
5258,北海道,札幌市手稲区,富丘三条４丁目,,141.24722398022072,43.10438899822318,141.25125397535902,43.107578711282436
5259,北海道,札幌市手稲区,富丘三条５丁目,,141.24574535313513,43.10706244648405,141.25031297673675,43.111262016069894
5260,北海道,札幌市手稲区,富丘三条６丁目,,141.24493044155832,43.110544040226955,141.24842650855473,43.112138860525356
5261,北海道,札幌市手稲区,富丘三条７丁目,,141.24266331797713,43.11183010280384,141.24790944564126,43.11484346456944
5262,北海道,札幌市手稲区,富丘四条１丁目,,141.2498439358998,43.095165702289655,141.2541830683614,43.09945049916932
5263,北海道,札幌市手稲区,富丘四条２丁目,,141.24975111785787,43.09902820400735,141.2514948037083,43.10214570097287
5264,北海道,札幌市手稲区,富丘四条３丁目,,141.24806640711537,43.10199575355888,141.25045198795178,43.10438899822318
5265,北海道,札幌市手稲区,富丘四条４丁目,,141.24524679588345,43.103573146537556,141.24934263069397,43.10706244648405
5266,北海道,札幌市手稲区,富丘四条５丁目,,141.24313148527546,43.106688104297184,141.24722398022072,43.110554810293635
5267,北海道,札幌市手稲区,富丘四条６丁目,,141.24233264240675,43.10971132965476,141.24569609364056,43.11183010280384
5268,北海道,札幌市手稲区,富丘四条７丁目,,141.24127553887305,43.11135471732564,141.24493044155832,43.113482242752006
5269,北海道,札幌市手稲区,富丘五条２丁目,,141.24740070409862,43.0984906641853,141.25070787031564,43.10153064818978
5270,北海道,札幌市手稲区,富丘五条３丁目,,141.24624428887768,43.10080093267431,141.24995965988688,43.103573146537556
5271,北海道,札幌市手稲区,富丘五条４丁目,,141.24245109860567,43.101899548701354,141.24806640711537,43.10677224490142
5272,北海道,札幌市手稲区,富丘五条５丁目,,141.24107926820724,43.106345609519046,141.24468281557188,43.10971132965476
5273,北海道,札幌市手稲区,富丘五条６丁目,,141.24070013873913,43.10897668594818,141.24313148527546,43.110987656582665
5274,北海道,札幌市手稲区,富丘五条７丁目,,141.23948610675865,43.109500807443915,141.24276598238922,43.11230305238668
5275,北海道,札幌市手稲区,富丘六条２丁目,,141.2465659926507,43.098782958879525,141.2492131415922,43.10080093267431
5276,北海道,札幌市手稲区,富丘六条３丁目,,141.2438911168747,43.10106579418062,141.24641413461958,43.103025680036914
5277,北海道,札幌市手稲区,富丘六条４丁目,,141.23912735433095,43.10415850772567,141.2437668705272,43.106284296321036
5278,北海道,札幌市手稲区,富丘六条７丁目,,141.2372787593921,43.10781351994523,141.24070013873913,43.1108979344143
5279,北海道,札幌市手稲区,前田一条１丁目,,141.26412022640397,43.10647989189087,141.2665349137196,43.10942867745352
5280,北海道,札幌市手稲区,前田一条２丁目,,141.2624336366257,43.10792288852111,141.26577957288853,43.11043785040945
5281,北海道,札幌市手稲区,前田一条３丁目,,141.25996671138535,43.10888508794704,141.26412216447034,43.111925666735964
5282,北海道,札幌市手稲区,前田一条４丁目,,141.25740131737695,43.11038233497774,141.261778632866,43.113620485896945
5283,北海道,札幌市手稲区,前田一条５丁目,,141.25519343910972,43.111952525825124,141.2624941751407,43.11851888955448
5284,北海道,札幌市手稲区,前田一条６丁目,,141.25386877105902,43.113258335392516,141.25655744436366,43.11515478628117
5285,北海道,札幌市手稲区,前田一条７丁目,,141.25221146661434,43.11416927680797,141.25574246772987,43.11676818693895
5286,北海道,札幌市手稲区,前田一条８丁目,,141.2503551962107,43.11528027938789,141.25391304534034,43.11790933212001
